EntityCode,ID,Category,Name,Tags
25340200,11737,Control Measure : Line,Mission Tasks : Breach,Control Measure;Mission Tasks;Breach;gct_u_or_t_shape;G*TPH-----****X;MAIN;Line;Mission Tasks : Breach;25340200
25340300,11738,Control Measure : Line,Mission Tasks : Bypass,Control Measure;Mission Tasks;Bypass;gct_u_or_t_shape;G*TPY-----****X;MAIN;Line;Mission Tasks : Bypass;25340300
25340400,11739,Control Measure : Line,Mission Tasks : Canalize,Control Measure;Mission Tasks;Canalize;gct_u_or_t_shape;G*TPC-----****X;MAIN;Line;Mission Tasks : Canalize;25340400
25340500,11740,Control Measure : Line,Mission Tasks : Clear,Control Measure;Mission Tasks;Clear;gct_u_or_t_shape;G*TPX-----****X;MAIN;Line;Mission Tasks : Clear;25340500
25340600,11741,Control Measure : Line,Mission Tasks : Counterattack,Control Measure;Mission Tasks;Counterattack;gct_arrow_with_offset;G*TPK-----****X;MAIN;Line;Mission Tasks : Counterattack;25340600
25340700,11742,Control Measure : Line,Mission Tasks : Counterattack by Fire,Control Measure;Mission Tasks;Counterattack by Fire;gct_arrow_with_offset;G*TPKF----****X;MAIN;Line;Mission Tasks : Counterattack by Fire;25340700
25340800,11743,Control Measure : Line,Mission Tasks : Delay,Control Measure;Mission Tasks;Delay;gct_hook;G*TPL-----****X;MAIN;Line;Mission Tasks : Delay;25340800
25341000,11745,Control Measure : Line,Mission Tasks : Disrupt,Control Measure;Mission Tasks;Disrupt;gct_triple_arrow;G*TPT-----****X;MAIN;Line;Mission Tasks : Disrupt;25341000
25341100,11746,Control Measure : Line,Mission Tasks : Fix,Control Measure;Mission Tasks;Fix;gct_arrow;G*TPF-----****X;MAIN;Line;Mission Tasks : Fix;25341100
25341200,11747,Control Measure : Line,Mission Tasks : Follow and Assume,Control Measure;Mission Tasks;Follow and Assume;gct_arrow;G*TPA-----****X;MAIN;Line;Mission Tasks : Follow and Assume;25341200
25341300,11748,Control Measure : Line,Mission Tasks : Follow and Support,Control Measure;Mission Tasks;Follow and Support;gct_arrow;G*TPAS----****X;MAIN;Line;Mission Tasks : Follow and Support;25341300
25341500,11750,Control Measure : Line,Mission Tasks : Isolate,Control Measure;Mission Tasks;Isolate;gct_circle;G*TPE-----****X;MAIN;Line;Mission Tasks : Isolate;25341500
25341700,11752,Control Measure : Line,Mission Tasks : Occupy,Control Measure;Mission Tasks;Occupy;gct_circle;G*TPO-----****X;MAIN;Line;Mission Tasks : Occupy;25341700
25341800,11753,Control Measure : Line,Mission Tasks : Penetrate,Control Measure;Mission Tasks;Penetrate;gct_u_or_t_shape;G*TPP-----****X;MAIN;Line;Mission Tasks : Penetrate;25341800
25341900,11754,Control Measure : Line,Mission Tasks : Relief in Place (RIP),Control Measure;Mission Tasks;Relief in Place (RIP);gct_freehand_u;G*TPR-----****X;MAIN;Line;Mission Tasks : Relief in Place (RIP);25341900
25342000,11755,Control Measure : Line,Mission Tasks : Retire/Retirement,Control Measure;Mission Tasks;Retire/Retirement;gct_hook;G*TPM-----****X;MAIN;Line;Mission Tasks : Retire/Retirement;25342000
25342100,11756,Control Measure : Line,Mission Tasks : Secure,Control Measure;Mission Tasks;Secure;gct_circle;G*TPS-----****X;MAIN;Line;Mission Tasks : Secure;25342100
25342201,11757,Control Measure : Line,Mission Tasks : Security : Cover,Control Measure;Mission Tasks;Security;Cover;gct_two_line_3_or_4_pt;G*TPUC----****X;MAIN;Line;Mission Tasks : Security : Cover;25342201
25342202,11758,Control Measure : Line,Mission Tasks : Security : Guard,Control Measure;Mission Tasks;Security;Guard;gct_two_line_3_or_4_pt;G*TPUG----****X;MAIN;Line;Mission Tasks : Security : Guard;25342202
25342203,11759,Control Measure : Line,Mission Tasks : Security : Screen,Control Measure;Mission Tasks;Security;Screen;gct_two_line_3_or_4_pt;G*TPUS----****X;MAIN;Line;Mission Tasks : Security : Screen;25342203
25342300,11760,Control Measure : Line,Mission Tasks : Seize,Control Measure;Mission Tasks;Seize;gct_freehand_arrow;G*TPZ-----****X;MAIN;Line;Mission Tasks : Seize;25342300
25342400,11761,Control Measure : Line,Mission Tasks : Withdraw,Control Measure;Mission Tasks;Withdraw;gct_hook;G*TPW-----****X;MAIN;Line;Mission Tasks : Withdraw;25342400
25342500,11762,Control Measure : Line,Mission Tasks : Withdraw Under Pressure,Control Measure;Mission Tasks;Withdraw Under Pressure;gct_hook;G*TPWP----****X;MAIN;Line;Mission Tasks : Withdraw Under Pressure;25342500
